,GDPC1,Foreclosures,Permit_Number,construction,Homes_Sold,Housing_Starts,CSUSHPISA,Mortgage,Unem_Rate,Date,Year
0,12935.252,1.95,1727.0,353065.0,873.0,1636.0,100.551,8.21,4.0,2000-01-01,2000
1,12478.487402342857,2.7466599326397985,1692.0,351933.0,856.0,1737.0,101.339,8.325,4.1,2000-02-01,2000
2,12404.535832800057,2.891213596417125,1651.0,353452.0,900.0,1604.0,102.126,8.24,4.0,2000-03-01,2000
3,13170.749,1.97,1597.0,356188.0,841.0,1626.0,102.922,8.1525,3.8,2000-04-01,2000
4,12353.194408048716,3.0343801005195203,1543.0,349907.0,857.0,1575.0,103.677,8.515,4.0,2000-05-01,2000
5,12690.075809119446,3.192953746735876,1572.0,348133.0,793.0,1559.0,104.424,8.288,4.0,2000-06-01,2000
6,13183.89,2.09,1542.0,337374.0,887.0,1463.0,105.053,8.1475,4.0,2000-07-01,2000
7,12712.56075765475,3.4527327395354366,1552.0,337583.0,848.0,1541.0,105.768,8.0275,4.1,2000-08-01,2000
8,12676.550622973116,3.407712680085642,1570.0,339048.0,912.0,1507.0,106.538,7.912,3.9,2000-09-01,2000
9,13262.25,2.23,1577.0,344095.0,933.0,1549.0,107.382,7.795,3.9,2000-10-01,2000
10,12936.973423466829,3.3071630960769127,1614.0,347301.0,880.0,1551.0,108.301,7.745,3.9,2000-11-01,2000
11,12826.56753004932,3.486589908920717,1543.0,344139.0,983.0,1532.0,109.14,7.382,3.9,2000-12-01,2000
12,13219.251,2.34,1699.0,348279.0,936.0,1600.0,109.846,7.0325,4.2,2001-01-01,2001
13,13129.348658556799,3.3442593655214754,1656.0,353629.0,963.0,1625.0,110.499,7.05,4.2,2001-02-01,2001
14,13253.5807390178,3.509061996004373,1659.0,350029.0,939.0,1590.0,111.108,6.952,4.3,2001-03-01,2001
15,13301.394,2.41,1666.0,361991.0,909.0,1649.0,111.651,7.0775,4.4,2001-04-01,2001
16,13325.083902746697,3.33108870203601,1665.0,360534.0,885.0,1605.0,112.163,7.145,4.3,2001-05-01,2001
17,13274.522873977821,3.2999518051296306,1626.0,365905.0,882.0,1636.0,112.796,7.16,4.5,2001-06-01,2001
18,13248.142,2.18,1598.0,366500.0,880.0,1670.0,113.491,7.1275,4.6,2001-07-01,2001
19,13382.79572940939,3.5151727296386106,1615.0,369000.0,866.0,1567.0,114.167,6.95,4.9,2001-08-01,2001
20,13448.965495416716,3.655043866883759,1565.0,368809.0,853.0,1562.0,114.811,6.8175,5.0,2001-09-01,2001
21,13284.881,2.25,1566.0,370957.0,871.0,1540.0,115.309,6.6175,5.3,2001-10-01,2001
22,13356.324662491092,3.520901073354171,1651.0,375803.0,924.0,1602.0,115.857,6.658,5.5,2001-11-01,2001
23,13015.15743952907,3.3699185455324585,1680.0,376279.0,979.0,1568.0,116.456,7.065,5.7,2001-12-01,2001
24,13394.91,2.24,1665.0,377631.0,880.0,1698.0,117.143,6.9975,5.7,2002-01-01,2002
25,13331.060209078103,2.9524183917523192,1787.0,385745.0,948.0,1829.0,117.845,6.8925,5.7,2002-02-01,2002
26,13271.842407132775,3.2420660487671,1691.0,385406.0,923.0,1642.0,118.686,7.014,5.7,2002-03-01,2002
27,13477.356,2.16,1669.0,398990.0,936.0,1592.0,119.61,6.985,5.9,2002-04-01,2002
28,13307.562934014335,3.0247623961741734,1716.0,394223.0,978.0,1764.0,120.724,6.806,5.8,2002-05-01,2002
29,13498.798699657986,3.012272251623193,1758.0,401920.0,957.0,1717.0,121.812,6.65,5.8,2002-06-01,2002
30,13531.741,2.1,1738.0,404632.0,956.0,1655.0,122.887,6.485,5.8,2002-07-01,2002
31,13571.140589373237,3.2867894565621683,1695.0,398875.0,1014.0,1633.0,123.83,6.29,5.7,2002-08-01,2002
32,13741.147289875746,3.10375919499589,1803.0,394820.0,1044.0,1804.0,124.779,6.0925,5.7,2002-09-01,2002
33,13549.421,2.0,1799.0,397077.0,1006.0,1648.0,125.734,6.1125,5.7,2002-10-01,2002
34,13799.38520756979,3.1791046501987728,1771.0,401424.0,1024.0,1753.0,126.669,6.068,5.9,2002-11-01,2002
35,13852.92641470955,2.8871376715340595,1896.0,411758.0,1048.0,1788.0,127.623,6.0475,6.0,2002-12-01,2002
36,13619.434,1.97,1808.0,417788.0,999.0,1853.0,128.46,5.916,5.8,2003-01-01,2003
37,14273.885036367801,3.1936249571497193,1854.0,417500.0,936.0,1629.0,129.355,5.8425,5.9,2003-02-01,2003
38,14124.13214421655,3.2282784599643897,1757.0,413303.0,999.0,1726.0,130.14700000000002,5.745,5.9,2003-03-01,2003
